Sentiment,SourceID,Tweet
FALSE,6.57E+17,correct predictions in back to the future ii URL
TRUE,6.16E+17,.@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL
FALSE,6.13E+17,cops bought the alleged church shooter burger king hours after killings URL
unverified,7.31E+17,🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL
unverified,7.15E+17,an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom
TRUE,6.14E+17,god put a rainbow over the white house 🌈 URL
unverified,7.16E+17,craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL
non-rumor,6.93E+17,#quasimodo: dog with short spine has big heart URL URL
non-rumor,6.94E+17,need to #getcovered? most people can find a health insurance plan for as little as $75/mo: URL URL
FALSE,6.23E+17,#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL
non-rumor,6.93E+17,japan's economy minister akira amari resigns over corruption allegations URL
non-rumor,6.93E+17,german shepherd with a rare spinal condition looking for a forever home. URL URL
TRUE,5.54E+17,several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL
TRUE,5.54E+17,"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL"
FALSE,6.23E+17,in heaven chick-fil-a is open on sundays.
FALSE,6.57E+17,the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL
TRUE,6.16E+17,apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL
non-rumor,6.42E+17,"oh, you invented the pencil? #appleevent URL"
TRUE,5.25E+17,"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL"
FALSE,6.73E+17,thoughts and prayers are not enough. pres. obama speaks on mass shootings over the years: URL URL
TRUE,5.44E+17,five hostages escape sydney cafe siege — live updates from @buzzfeedoz URL URL
non-rumor,6.82E+17,"when she heard about south korean ""comfort women,"" @yunghi photographed some survivors URL URL"
FALSE,6.21E+17,translucent butterfly - beautiful! URL
FALSE,6.27E+17,everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL
FALSE,6.19E+17,family: @schwarzenegger's last act as governor stole justice from dead son. URL URL
FALSE,6.73E+17,why have there been more mass shootings under obama than the 4 previous presidents combined? URL URL
TRUE,5.54E+17,reports: #charliehebdo suspects killed URL
FALSE,5.95E+17,"the kissing islands, greenland. URL"
FALSE,6.13E+17,police chief says dylann roof was taken to burger king shortly after arrest URL
FALSE,6.63E+17,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim."
non-rumor,7.67E+17,russian olympic officials concerned after learning team’s clean urine reservoir almost empty URL URL
non-rumor,6.93E+17,it's 2016. women should earn the same pay as men for doing the same work. URL #equalpay URL
TRUE,5.25E+17,breaking update: canadian soldier injured at parliament hill shooting dies URL #ottawa
FALSE,6.13E+17,cops bought burger king for dylann roof following his arrest URL URL
TRUE,5.44E+17,update: total of 5 people have been able to get out of sydney cafe during hostage situation: URL URL
unverified,7.07E+17,".@berniesanders: in 2016, ""we will end institutional racism and reform a broken criminal justice system.” #demdebate"
non-rumor,6.94E+17,our high school graduation rate is at an all-time high. —@potus URL URL
FALSE,6.04E+17,florida couple arrested for selling fake real estate on the moon #wtf15 👉🏿👉 URL URL
non-rumor,7.68E+17,i hate writing; i love having written. dorothy parker was born on this day in 1893: URL
